sr_no,name,image,description,region,season,difficulty,avgPrice,rating,featured,interests
1,Agra,https://skift.com/wp-content/uploads/2022/06/GettyImages-1208049833-scaled-e1654782364566-1536x1024.jpg,"Visit to Tajmahal, Agra fort, Fatehpur Sikri...","North India","October - March",Easy,6500,4.8,true,"historical,cultural"
2,Delhi,https://i.postimg.cc/QN9Bbfk2/vecteezy-the-illuminated-architecture-of-a-famous-place-reflects-on-25496410.jpg,"Explore the vibrant streets of Delhi with its iconic Red Fort, tranquil Humayun's Tomb, and the modern Lotus Temple. Experience the perfect blend of history and modernity.","North India","October - March",Easy,5000,4.5,true,"historical,cultural,food"
3,Goa,https://www.sharpholidays.in/blog/wp-content/uploads/2018/02/goa-night-time-beach.jpg,"Relax on golden beaches with azure waters and vibrant culture. Enjoy fresh seafood, explore colonial architecture, and experience the lively nightlife in this tropical paradise.","West India","November - February",Easy,8000,4.7,true,"beach,nightlife,adventure"
4,Ladakh,https://img.freepik.com/free-photo/magnetic-hill-mountain-blue-sky-road-way-leh-ladakh-india_1150-11111.jpg,"Experience the breathtaking beauty of rugged Himalayas meeting arid highlands. Known for high altitude, snow-capped mountains, and pristine natural landscapes.","North India","June - September",Challenging,12000,4.9,false,"adventure,nature,spiritual"
5,Andaman,https://maharajatravels.in/wp-content/uploads/2023/08/Andaman-Honeymoon1-1.jpg,"Discover pristine beaches, crystal-clear waters, and vibrant coral reefs. Perfect for water sports, honeymoons, and relaxing getaways in a tropical paradise.",Islands,"October - May",Moderate,14000,4.6,true,"beach,adventure,nature"
6,Nicobar,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2022/09/23113313/andaman-nicobar.jpg,"Explore pristine beaches, lush green forests, and rich biodiversity in these remote islands of the Bay of Bengal.",Islands,"October - May",Challenging,40000,4.3,false,"nature,beach,wildlife"
7,Kashmir,https://cdn.pixabay.com/photo/2018/08/15/20/29/srinagar-3609032_1280.jpg,"Experience the paradise on earth with snow-capped mountains, lush green valleys, and serene lakes. Known for traditional handicrafts and vibrant culture.","North India","March - October",Moderate,25000,4.8,true,"nature,adventure,cultural"
8,Jaipur,https://images.pexels.com/photos/14247658/pexels-photo-14247658.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"Explore the Pink City with its magnificent palaces, forts, and vibrant markets. Experience the rich Rajasthani culture and cuisine.","North India","October - March",Easy,18000,4.5,false,"historical,cultural,food"
9,Varanasi,https://upload.wikimedia.org/wikipedia/commons/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg,"Experience the spiritual heart of India with ancient ghats, temples, and rituals along the sacred Ganges River.","North India","October - March",Moderate,15000,4.4,false,"spiritual,cultural,historical"
10,Udaipur,https://i.ytimg.com/vi/kP4410bRqIw/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLASAUvuxFy-Qf4H9FpzN8FflQf4YQ,"Explore the City of Lakes with its magnificent palaces, serene lakes, and vibrant Rajasthani culture.","North India","October - March",Easy,20000,4.7,true,"cultural,historical,food"
11,Rishikesh,https://cdn.pixabay.com/photo/2022/10/05/07/11/temple-7499927_1280.jpg,"Experience the thrill of river rafting, bungee jumping, and yoga retreats in the foothills of the Himalayas.","North India","September - November, February - May",Moderate,17000,4.4,false,"adventure,spiritual,nature"
12,Jodhpur,https://cdn.pixabay.com/photo/2022/10/05/07/11/temple-7499927_1280.jpg,"Discover the Blue City with its majestic Mehrangarh Fort, vibrant markets, and traditional Rajasthani hospitality.","North India","October - March",Easy,18000,4.6,false,"historical,cultural,food"
13,Mumbai,https://i.ytimg.com/vi/tWD_-Rzrn8o/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCKhJ0jzHHsjkkzRf8Dz6Lvuz5a5w,"Explore the bustling metropolis with its iconic landmarks, vibrant street food, and thriving nightlife.","West India","November - February",Easy,22000,4.6,true,"nightlife,food,cultural"
14,Hampi,https://s7ap1.scene7.com/is/image/incredibleindia/vitthala-temple-complex-hampi-tri-hero?qlt=82&ts=1727164508836,"Step back in time at this UNESCO World Heritage site, exploring the ruins of the Vijayanagara Empire.","South India","October - February",Moderate,15000,4.6,false,"historical,cultural,adventure"
15,Bangalore,https://www.realtynmore.com/wp-content/uploads/2024/11/real-estate-market-in-bangalore-2024.jpg,"Experience the Silicon Valley of India with its vibrant pub culture, lush parks, and tech hubs.","South India","Year-round",Easy,20000,4.5,true,"nightlife,food,cultural"
16,Khajuraho,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1555433651_20200219145507_20200220101052.png,"Marvel at the intricate erotic sculptures and architectural brilliance of the Khajuraho temples.","Central India","October - March",Easy,18000,4.5,false,"historical,cultural,spiritual"
17,Pondicherry,https://blog.quickride.in/wp-content/uploads/cropped-Places-to-Visit-in-Pondicherry-850x478.jpg,"Relax in this coastal town with its French colonial charm, serene beaches, and vibrant cafes.","South India","October - March",Easy,19000,4.3,false,"beach,nightlife,cultural"
18,Amritsar,https://i.pinimg.com/originals/e3/14/dc/e314dc526f0558163b93f88221a547d0.jpg,"Experience the spiritual and cultural heart of Punjab at the Golden Temple and Jallianwala Bagh.","North India","October - March",Easy,16000,4.7,true,"spiritual,cultural,food"
19,Manali,https://i.ytimg.com/vi/HVkLM6__5qk/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBZKIfOthm3rLY4HYlF1MTjTeQCGQ,"Enjoy adventure sports, scenic beauty, and vibrant nightlife in this Himalayan paradise.","North India","March - June, September - November",Moderate,18000,4.5,false,"adventure,nature,nightlife"