id,name,image,description,region,season,difficulty,avgPrice,rating,featured,interests,sr_no
051656f8-00dc-42e8-9b64-31d64b257a75,Nicobar,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2022/09/23113313/andaman-nicobar.jpg,"Explore pristine beaches, lush green forests, and rich biodiversity in these remote islands of the Bay of Bengal.",Islands,October - May,Challenging,40000,4.3,false,"nature,beach,wildlife",6
099e29ad-0171-4a0d-8318-17852f035661,Varanasi,https://upload.wikimedia.org/wikipedia/commons/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg,"Experience the spiritual heart of India with ancient ghats, temples, and rituals along the sacred Ganges River.",North India,October - March,Moderate,15000,4.4,false,"spiritual,cultural,historical",9
18e4455f-29a2-457c-9520-2a5dd9f79097,Delhi,https://i.postimg.cc/QN9Bbfk2/vecteezy-the-illuminated-architecture-of-a-famous-place-reflects-on-25496410.jpg,"Explore the vibrant streets of Delhi with its iconic Red Fort, tranquil Humayun's Tomb, and the modern Lotus Temple. Experience the perfect blend of history and modernity.",North India,October - March,Easy,5000,4.5,true,"historical,cultural,food",2
28d645da-95a3-454e-96a9-52291e400d85,Pondicherry,https://blog.quickride.in/wp-content/uploads/cropped-Places-to-Visit-in-Pondicherry-850x478.jpg,"Relax in this coastal town with its French colonial charm, serene beaches, and vibrant cafes.",South India,October - March,Easy,19000,4.3,false,"beach,nightlife,cultural",17
2a351f1d-b7e9-4c29-a65b-5ed3d0aecff2,Jodhpur,https://cdn.pixabay.com/photo/2022/10/05/07/11/temple-7499927_1280.jpg,"Discover the Blue City with its majestic Mehrangarh Fort, vibrant markets, and traditional Rajasthani hospitality.",North India,October - March,Easy,18000,4.6,false,"historical,cultural,food",12
434f9184-c69a-4556-bbc9-dfd91cb6fef2,Goa,https://www.sharpholidays.in/blog/wp-content/uploads/2018/02/goa-night-time-beach.jpg,"Relax on golden beaches with azure waters and vibrant culture. Enjoy fresh seafood, explore colonial architecture, and experience the lively nightlife in this tropical paradise.",West India,November - February,Easy,8000,4.7,true,"beach,nightlife,adventure",3
4a2247d0-3f90-4508-9a3f-f743a87c0c2f,Andaman,https://maharajatravels.in/wp-content/uploads/2023/08/Andaman-Honeymoon1-1.jpg,"Discover pristine beaches, crystal-clear waters, and vibrant coral reefs. Perfect for water sports, honeymoons, and relaxing getaways in a tropical paradise.",Islands,October - May,Moderate,14000,4.6,true,"beach,adventure,nature",5
73238d68-0a02-4012-bfef-05b21754ecb2,Hampi,https://s7ap1.scene7.com/is/image/incredibleindia/vitthala-temple-complex-hampi-tri-hero?qlt=82&ts=1727164508836,"Step back in time at this UNESCO World Heritage site, exploring the ruins of the Vijayanagara Empire.",South India,October - February,Moderate,15000,4.6,false,"historical,cultural,adventure",14
7cc2f831-7547-40e9-a7bc-36230c908f77,Amritsar,https://i.pinimg.com/originals/e3/14/dc/e314dc526f0558163b93f88221a547d0.jpg,Experience the spiritual and cultural heart of Punjab at the Golden Temple and Jallianwala Bagh.,North India,October - March,Easy,16000,4.7,true,"spiritual,cultural,food",18
82d5ccec-550a-4e8c-907a-f553c76a44f2,Mumbai,https://i.ytimg.com/vi/tWD_-Rzrn8o/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCKhJ0jzHHsjkkzRf8Dz6Lvuz5a5w,"Explore the bustling metropolis with its iconic landmarks, vibrant street food, and thriving nightlife.",West India,November - February,Easy,22000,4.6,true,"nightlife,food,cultural",13
886825bd-922e-4878-bebc-3ffff26f5f0c,Udaipur,https://i.ytimg.com/vi/kP4410bRqIw/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLASAUvuxFy-Qf4H9FpzN8FflQf4YQ,"Explore the City of Lakes with its magnificent palaces, serene lakes, and vibrant Rajasthani culture.",North India,October - March,Easy,20000,4.7,true,"cultural,historical,food",10
9921eaf1-56a9-4e7b-8ae4-a4d40248fb4a,Khajuraho,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1555433651_20200219145507_20200220101052.png,Marvel at the intricate erotic sculptures and architectural brilliance of the Khajuraho temples.,Central India,October - March,Easy,18000,4.5,false,"historical,cultural,spiritual",16
9cb96eb9-dcd2-43b7-8396-b44db7632fa4,Kashmir,https://cdn.pixabay.com/photo/2018/08/15/20/29/srinagar-3609032_1280.jpg,"Experience the paradise on earth with snow-capped mountains, lush green valleys, and serene lakes. Known for traditional handicrafts and vibrant culture.",North India,March - October,Moderate,25000,4.8,true,"nature,adventure,cultural",7
aef9ee49-4532-4e9b-a39d-3fb07b39ccdb,Jaipur,https://images.pexels.com/photos/14247658/pexels-photo-14247658.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"Explore the Pink City with its magnificent palaces, forts, and vibrant markets. Experience the rich Rajasthani culture and cuisine.",North India,October - March,Easy,18000,4.5,false,"historical,cultural,food",8
bb1c3f7f-f47a-4aa9-aa53-bdd0b05d2029,Ladakh,https://img.freepik.com/free-photo/magnetic-hill-mountain-blue-sky-road-way-leh-ladakh-india_1150-11111.jpg,"Experience the breathtaking beauty of rugged Himalayas meeting arid highlands. Known for high altitude, snow-capped mountains, and pristine natural landscapes.",North India,June - September,Challenging,12000,4.9,false,"adventure,nature,spiritual",4
d2d1e522-e958-4bb1-9bb1-16e6ce6d35e7,Agra,https://skift.com/wp-content/uploads/2022/06/GettyImages-1208049833-scaled-e1654782364566-1536x1024.jpg,"Visit to Tajmahal, Agra fort, Fatehpur Sikri...",North India,October - March,Easy,6500,4.8,true,"historical,cultural",1
d7061671-e348-4475-8f35-d116fe4e778f,Bangalore,https://www.realtynmore.com/wp-content/uploads/2024/11/real-estate-market-in-bangalore-2024.jpg,"Experience the Silicon Valley of India with its vibrant pub culture, lush parks, and tech hubs.",South India,Year-round,Easy,20000,4.5,true,"nightlife,food,cultural",15
dd5390a2-e173-443e-8c08-883be2145c0a,shikohabad,https://images.jdmagicbox.com/v2/comp/firozabad/s8/9999p5612.5612.170901131433.k8s8/catalogue/ak-college-i-l-c-shikohabad-firozabad-colleges-9ttpgjc9vs.jpg,shikohabad,noth india,JUNE - JULY,Hard,50,5,true,very intresting,20
ebc489b3-6a6c-4b66-8519-5d396d93c5f8,Manali,https://i.ytimg.com/vi/HVkLM6__5qk/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBZKIfOthm3rLY4HYlF1MTjTeQCGQ,"Enjoy adventure sports, scenic beauty, and vibrant nightlife in this Himalayan paradise.",North India,"March - June, September - November",Moderate,18000,4.5,false,"adventure,nature,nightlife",19
f3700984-fe18-4b05-ac0c-42c39ab064f3,Rishikesh,https://cdn.pixabay.com/photo/2022/10/05/07/11/temple-7499927_1280.jpg,"Experience the thrill of river rafting, bungee jumping, and yoga retreats in the foothills of the Himalayas.",North India,"September - November, February - May",Moderate,17000,4.4,false,"adventure,spiritual,nature",11